experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,metric_type,metric,n_folds,mean,std,min,max
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,aggregated,weighted_recall,22,0.5016508976930475,0.06371242388300868,0.3454545454545454,0.5944700460829493
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,accuracy,22,0.5105308719994196,0.062404720834937026,0.36,0.6132075471698113
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,balanced_accuracy,22,0.40729104941865907,0.04227637927449626,0.3192171938879577,0.4798447860156721
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,loss,22,1.0174753422086888,0.12270306360909315,0.8671558499336243,1.4414904713630676
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,macro_auc_ovr,22,0.6629557582239033,0.05602700554233908,0.5772264560535304,0.79342498555536
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,macro_f1,22,0.35179877954604344,0.05725353081267626,0.252737013743303,0.4340802340802341
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,macro_precision,22,0.3711176706786008,0.04870548679968691,0.2811378072355703,0.4426961926961927
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,macro_recall,22,0.40729104941865907,0.04227637927449626,0.3192171938879577,0.4798447860156721
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,weighted_auc_ovr,22,0.6590079488695684,0.058043855900833496,0.5497997215390966,0.7813391576449216
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,weighted_f1,22,0.4434110583435396,0.08167076634432571,0.3056371853438674,0.5659632997831644
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,weighted_precision,22,0.45720585281978254,0.07964560940506814,0.3311768308058067,0.6412853122697683
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,aggregated,weighted_recall,22,0.5105308719994196,0.062404720834937026,0.36,0.6132075471698113
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,accuracy,22,0.5517680649228464,0.07689030515841168,0.3434782608695652,0.6574074074074074
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,balanced_accuracy,22,0.46079499959723375,0.053763142910924246,0.3447330447330447,0.5272944546430061
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,loss,22,1.1135195502393407,0.705788538942435,0.7564752249338648,4.241588631497353
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_auc_ovr,22,0.6815808038827079,0.05266869515769073,0.5784512700165436,0.7797913306497565
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_f1,22,0.43025288314060545,0.0776533441099651,0.2718583686325622,0.5345104722727939
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_precision,22,0.5160299181944993,0.10184768414102571,0.2839317545199898,0.7397306397306398
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_recall,22,0.46079499959723375,0.053763142910924246,0.3447330447330447,0.5272944546430061
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_auc_ovr,22,0.6928525163400048,0.053274662663017704,0.5728063336078294,0.7646588749391454
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_f1,22,0.5118247517118228,0.08813953932171595,0.3179834813775908,0.6531690941742107
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_precision,22,0.5562173713154553,0.07765849464228362,0.3794422293947641,0.6799963101332964
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_recall,22,0.5517680649228464,0.07689030515841168,0.3434782608695652,0.6574074074074074
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,accuracy,22,0.5676968009725193,0.05604845338893558,0.4690909090909091,0.6527777777777778
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,balanced_accuracy,22,0.4974280954016787,0.0387886954730394,0.4215007215007215,0.5833241695583468
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,loss,22,0.9337043830366144,0.09088484139233459,0.7846980631213615,1.1547579962177403
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,macro_auc_ovr,22,0.7221997998764212,0.04260768142141038,0.6292445735993822,0.7920156462832814
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,macro_f1,22,0.4725454550397417,0.05168794560099966,0.3957847456163081,0.5817408268721561
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,macro_precision,22,0.5503071910246803,0.08043966883000914,0.3461802802008987,0.7107382894669335
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,macro_recall,22,0.4974280954016787,0.0387886954730394,0.4215007215007215,0.5833241695583468
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,weighted_auc_ovr,22,0.7218662067375852,0.04181707983922874,0.6026902543008761,0.7842230120396719
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,weighted_f1,22,0.5423706429414925,0.06299595310708471,0.4412913271420182,0.6460858361743917
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,weighted_precision,22,0.5946690798112637,0.06335556842120157,0.3858835262787903,0.6787729995479734
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,aggregated,weighted_recall,22,0.5676968009725193,0.05604845338893558,0.4690909090909091,0.6527777777777778
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,accuracy,22,0.5481864532717385,0.07319575510424212,0.3709090909090909,0.6682027649769585
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,balanced_accuracy,22,0.45592455471568943,0.06488329814211463,0.3437849944008959,0.5835240020929221
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,loss,22,0.9970956174777441,0.11738499319726665,0.8322937608641036,1.3290556835851972
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,macro_auc_ovr,22,0.6789213069872063,0.050489500313060355,0.5718952395931444,0.7752871646344867
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,macro_f1,22,0.4112866478433709,0.08906554881605586,0.2286328802021341,0.5785473785473785
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,macro_precision,22,0.510124600258465,0.13017935093233793,0.2918496512529062,0.7623152709359605
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,macro_recall,22,0.45592455471568943,0.06488329814211463,0.3437849944008959,0.5835240020929221
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,weighted_auc_ovr,22,0.6840231433546947,0.05744874487383497,0.5664978774048,0.7756481065606592
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,weighted_f1,22,0.4933628720108832,0.10247460236990015,0.285719077135788,0.6551692035563004
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,weighted_precision,22,0.5581761166893733,0.10219954125191187,0.3302620887250181,0.702194831760875
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,aggregated,weighted_recall,22,0.5481864532717385,0.07319575510424212,0.3709090909090909,0.6682027649769585
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,aggregated,accuracy,22,0.5638180924680463,0.0508345472768915,0.4654545454545454,0.6666666666666666
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,aggregated,balanced_accuracy,22,0.4922059349513294,0.04361762321544408,0.4023922091566654,0.5648887523887524
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,aggregated,loss,22,0.9505055827163449,0.08916132810713764,0.8025732559727533,1.1873466722421375
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,aggregated,macro_auc_ovr,22,0.707458711615677,0.03653072096829496,0.6347876079865652,0.780987211715388
